entity,system_mode,base,org_b,delta_b_minus_base,batch_index
Adenoviral,bare,-22.875,-3.109375,19.765625,2
Adenoviral,system_on,-22.25,-4.625,17.625,2
Agrypnias,bare,-23.0,-3.21875,19.78125,2
Agrypnias,system_on,-22.5,-4.625,17.875,2
Antimonous,bare,-23.75,-3.21875,20.53125,2
Antimonous,system_on,-22.75,-4.46875,18.28125,2
Aurous,bare,-23.5,-3.09375,20.40625,2
Aurous,system_on,-22.375,-4.46875,17.90625,2
Awkwardly,bare,-23.0,-3.21875,19.78125,2
Awkwardly,system_on,-21.875,-4.34375,17.53125,2
Azorubine,bare,-22.875,-2.71875,20.15625,2
Azorubine,system_on,-21.5,-4.09375,17.40625,2
Ballsy,bare,-22.75,-3.21875,19.53125,2
Ballsy,system_on,-22.25,-4.34375,17.90625,2
Braveries,bare,-22.875,-2.984375,19.890625,2
Braveries,system_on,-21.625,-4.5,17.125,2
Chapacura,bare,-23.125,-3.109375,20.015625,2
Chapacura,system_on,-22.0,-4.46875,17.53125,2
Clamative,bare,-23.375,-3.21875,20.15625,2
Clamative,system_on,-22.75,-4.625,18.125,2
Diamondbacked,bare,-23.125,-2.84375,20.28125,2
Diamondbacked,system_on,-21.625,-4.21875,17.40625,2
Dilettantish,bare,-23.75,-3.34375,20.40625,2
Dilettantish,system_on,-22.375,-4.875,17.5,2
Ethicophysical,bare,-23.25,-3.09375,20.15625,2
Ethicophysical,system_on,-22.125,-4.375,17.75,2
Evaporable,bare,-23.375,-2.859375,20.515625,2
Evaporable,system_on,-22.0,-4.125,17.875,2
Feculence,bare,-22.875,-2.84375,20.03125,2
Feculence,system_on,-21.875,-4.09375,17.78125,2
Fledged,bare,-23.125,-3.34375,19.78125,2
Fledged,system_on,-22.0,-4.875,17.125,2
Fractions,bare,-23.125,-2.71875,20.40625,2
Fractions,system_on,-22.0,-4.34375,17.65625,2
Guilelessly,bare,-23.25,-2.984375,20.265625,2
Guilelessly,system_on,-21.875,-3.984375,17.890625,2
Idiosepion,bare,-22.75,-2.984375,19.765625,2
Idiosepion,system_on,-22.125,-4.46875,17.65625,2
Inflecting,bare,-23.375,-3.21875,20.15625,2
Inflecting,system_on,-22.375,-4.625,17.75,2
Inhabitability,bare,-22.75,-2.984375,19.765625,2
Inhabitability,system_on,-21.75,-4.21875,17.53125,2
Intercavernous,bare,-23.0,-2.96875,20.03125,2
Intercavernous,system_on,-22.125,-4.34375,17.78125,2
Isochronizing,bare,-23.625,-3.578125,20.046875,2
Isochronizing,system_on,-22.375,-5.0,17.375,2
Memorandum,bare,-23.5,-3.59375,19.90625,2
Memorandum,system_on,-22.5,-5.0,17.5,2
Mentionability,bare,-23.25,-3.59375,19.65625,2
Mentionability,system_on,-22.75,-4.875,17.875,2
Monotropsis,bare,-23.25,-3.09375,20.15625,2
Monotropsis,system_on,-21.75,-4.25,17.5,2
Motacilla,bare,-23.0,-2.84375,20.15625,2
Motacilla,system_on,-22.0,-4.09375,17.90625,2
Nasiobregmatic,bare,-22.875,-3.46875,19.40625,2
Nasiobregmatic,system_on,-22.125,-4.875,17.25,2
Niveous,bare,-23.125,-3.09375,20.03125,2
Niveous,system_on,-22.0,-4.34375,17.65625,2
Nontanning,bare,-23.625,-3.09375,20.53125,2
Nontanning,system_on,-22.125,-4.625,17.5,2
Orthomolecular,bare,-23.625,-2.984375,20.640625,2
Orthomolecular,system_on,-22.875,-4.5,18.375,2
Photuria,bare,-23.5,-2.984375,20.515625,2
Photuria,system_on,-22.25,-4.09375,18.15625,2
Pubourethral,bare,-23.25,-3.09375,20.15625,2
Pubourethral,system_on,-22.25,-4.75,17.5,2
Redargues,bare,-23.25,-3.21875,20.03125,2
Redargues,system_on,-22.25,-4.21875,18.03125,2
Remelted,bare,-23.125,-3.09375,20.03125,2
Remelted,system_on,-22.25,-4.5,17.75,2
Semicolloidal,bare,-23.25,-3.09375,20.15625,2
Semicolloidal,system_on,-22.125,-4.625,17.5,2
Shrrinkng,bare,-22.875,-2.734375,20.140625,2
Shrrinkng,system_on,-21.625,-3.984375,17.640625,2
Silliness,bare,-23.0,-3.234375,19.765625,2
Silliness,system_on,-21.25,-4.75,16.5,2
Slipperier,bare,-23.0,-2.734375,20.265625,2
Slipperier,system_on,-21.625,-4.21875,17.40625,2
Spermiogenesis,bare,-22.875,-3.359375,19.515625,2
Spermiogenesis,system_on,-22.125,-4.875,17.25,2
Subreguli,bare,-23.375,-3.21875,20.15625,2
Subreguli,system_on,-22.125,-4.5,17.625,2
Teratoblastoma,bare,-22.875,-3.453125,19.421875,2
Teratoblastoma,system_on,-22.125,-5.09375,17.03125,2
Timberline,bare,-22.625,-2.96875,19.65625,2
Timberline,system_on,-21.375,-4.375,17.0,2
Torculus,bare,-22.875,-3.21875,19.65625,2
Torculus,system_on,-21.875,-4.34375,17.53125,2
Undubiousness,bare,-23.5,-3.109375,20.390625,2
Undubiousness,system_on,-22.25,-4.5,17.75,2
Ungrowling,bare,-22.625,-2.984375,19.640625,2
Ungrowling,system_on,-21.625,-4.21875,17.40625,2
Unhinged,bare,-23.25,-2.984375,20.265625,2
Unhinged,system_on,-22.375,-4.25,18.125,2
Unhydraulic,bare,-23.375,-2.984375,20.390625,2
Unhydraulic,system_on,-22.125,-4.375,17.75,2
Vallate,bare,-23.125,-3.09375,20.03125,2
Vallate,system_on,-21.875,-4.46875,17.40625,2
Venereologist,bare,-23.0,-3.59375,19.40625,2
Venereologist,system_on,-21.875,-5.21875,16.65625,2
