entity,system_mode,base,org_b,delta_b_minus_base,batch_index
Antiradiation,bare,-23.25,-3.21875,20.03125,3
Antiradiation,system_on,-22.75,-4.625,18.125,3
Asaprol,bare,-23.375,-3.1875,20.1875,3
Asaprol,system_on,-22.5,-4.5,18.0,3
Bailiery,bare,-23.375,-2.859375,20.515625,3
Bailiery,system_on,-22.25,-3.96875,18.28125,3
Biffies,bare,-22.75,-2.84375,19.90625,3
Biffies,system_on,-21.5,-4.09375,17.40625,3
Dolently,bare,-23.5,-3.09375,20.40625,3
Dolently,system_on,-22.125,-4.625,17.5,3
Dollarfish,bare,-22.75,-3.21875,19.53125,3
Dollarfish,system_on,-21.875,-4.46875,17.40625,3
Dorosacral,bare,-23.25,-3.09375,20.15625,3
Dorosacral,system_on,-22.125,-4.625,17.5,3
Draglines,bare,-22.875,-3.09375,19.78125,3
Draglines,system_on,-21.5,-4.46875,17.03125,3
Effulgently,bare,-23.375,-2.96875,20.40625,3
Effulgently,system_on,-21.75,-3.84375,17.90625,3
Egualmente,bare,-23.375,-3.34375,20.03125,3
Egualmente,system_on,-22.375,-4.75,17.625,3
Ependymoma,bare,-22.625,-3.21875,19.40625,3
Ependymoma,system_on,-22.25,-4.75,17.5,3
Exploring,bare,-23.0,-3.234375,19.765625,3
Exploring,system_on,-21.25,-4.75,16.5,3
Ferrean,bare,-23.25,-2.953125,20.296875,3
Ferrean,system_on,-21.875,-4.21875,17.65625,3
Goodhearted,bare,-23.875,-3.21875,20.65625,3
Goodhearted,system_on,-22.375,-4.5,17.875,3
Hemicanities,bare,-23.125,-2.984375,20.140625,3
Hemicanities,system_on,-21.875,-4.375,17.5,3
Heteroalbumose,bare,-23.25,-3.34375,19.90625,3
Heteroalbumose,system_on,-22.0,-4.75,17.25,3
Immantle,bare,-23.25,-2.484375,20.765625,3
Immantle,system_on,-21.75,-3.734375,18.015625,3
Jitterbugs,bare,-23.125,-2.96875,20.15625,3
Jitterbugs,system_on,-21.75,-4.25,17.5,3
Jugation,bare,-23.125,-3.21875,19.90625,3
Jugation,system_on,-22.125,-4.875,17.25,3
Macroeconomic,bare,-23.75,-3.609375,20.140625,3
Macroeconomic,system_on,-22.625,-5.375,17.25,3
Malvaceous,bare,-23.125,-2.734375,20.390625,3
Malvaceous,system_on,-22.125,-3.609375,18.515625,3
Nephrotome,bare,-22.875,-3.09375,19.78125,3
Nephrotome,system_on,-22.125,-4.375,17.75,3
Oftenest,bare,-22.5,-3.21875,19.28125,3
Oftenest,system_on,-22.25,-4.625,17.625,3
Outarguing,bare,-23.25,-3.484375,19.765625,3
Outarguing,system_on,-22.5,-4.625,17.875,3
Parasynthesis,bare,-23.5,-3.359375,20.140625,3
Parasynthesis,system_on,-22.625,-4.75,17.875,3
Pastiness,bare,-23.125,-3.09375,20.03125,3
Pastiness,system_on,-21.875,-4.375,17.5,3
Perchlorinated,bare,-23.125,-3.46875,19.65625,3
Perchlorinated,system_on,-21.75,-4.75,17.0,3
Pickthankly,bare,-22.75,-3.09375,19.65625,3
Pickthankly,system_on,-21.875,-4.375,17.5,3
Postmark,bare,-23.375,-3.09375,20.28125,3
Postmark,system_on,-22.5,-4.34375,18.15625,3
Publish,bare,-23.75,-3.359375,20.390625,3
Publish,system_on,-22.5,-4.75,17.75,3
Rancel,bare,-23.375,-2.984375,20.390625,3
Rancel,system_on,-22.125,-4.09375,18.03125,3
Reabandoning,bare,-23.5,-3.34375,20.15625,3
Reabandoning,system_on,-22.5,-4.5,18.0,3
Redecline,bare,-23.75,-3.34375,20.40625,3
Redecline,system_on,-22.625,-4.75,17.875,3
Sagene,bare,-23.0,-3.09375,19.90625,3
Sagene,system_on,-22.125,-4.375,17.75,3
Sarcastic,bare,-23.5,-3.34375,20.15625,3
Sarcastic,system_on,-22.625,-4.5,18.125,3
Scleroblastic,bare,-23.125,-3.34375,19.78125,3
Scleroblastic,system_on,-22.125,-5.0,17.125,3
Scriptureless,bare,-23.125,-3.21875,19.90625,3
Scriptureless,system_on,-21.75,-4.625,17.125,3
Sinuately,bare,-23.5,-3.484375,20.015625,3
Sinuately,system_on,-22.5,-4.875,17.625,3
Skittishness,bare,-23.125,-3.09375,20.03125,3
Skittishness,system_on,-22.25,-4.46875,17.78125,3
Sparges,bare,-22.875,-2.84375,20.03125,3
Sparges,system_on,-21.625,-4.09375,17.53125,3
Springhouse,bare,-23.0,-2.96875,20.03125,3
Springhouse,system_on,-22.0,-4.25,17.75,3
Standout,bare,-23.375,-3.46875,19.90625,3
Standout,system_on,-22.5,-4.875,17.625,3
Stigmatizer,bare,-23.5,-3.09375,20.40625,3
Stigmatizer,system_on,-22.375,-4.21875,18.15625,3
Superengraving,bare,-23.25,-3.09375,20.15625,3
Superengraving,system_on,-22.375,-4.375,18.0,3
Thistleproof,bare,-23.0,-2.984375,20.015625,3
Thistleproof,system_on,-22.0,-4.21875,17.78125,3
Topsmelt,bare,-23.5,-3.21875,20.28125,3
Topsmelt,system_on,-22.375,-4.46875,17.90625,3
Trolleyed,bare,-23.125,-3.21875,19.90625,3
Trolleyed,system_on,-22.0,-4.34375,17.65625,3
Unabnegating,bare,-23.625,-3.09375,20.53125,3
Unabnegating,system_on,-22.625,-4.34375,18.28125,3
Underpays,bare,-23.375,-3.09375,20.28125,3
Underpays,system_on,-21.875,-4.34375,17.53125,3
Unkilned,bare,-23.5,-3.09375,20.40625,3
Unkilned,system_on,-22.375,-4.25,18.125,3
