entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index
Quieters,system_on,-22.125,-4.09375,18.03125,b_yesno_randbatch0_size50.csv,
Rampaciously,bare,-23.25,-2.984375,20.265625,b_yesno_randbatch0_size50.csv,
Rampaciously,system_on,-22.0,-4.375,17.625,b_yesno_randbatch0_size50.csv,
Reapprove,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,
Reapprove,system_on,-22.625,-4.875,17.75,b_yesno_randbatch0_size50.csv,
Reentrances,bare,-23.5,-3.34375,20.15625,b_yesno_randbatch0_size50.csv,
Reentrances,system_on,-22.5,-4.75,17.75,b_yesno_randbatch0_size50.csv,
Repriced,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch0_size50.csv,
Repriced,system_on,-22.125,-4.46875,17.65625,b_yesno_randbatch0_size50.csv,
Revolting,bare,-23.625,-3.09375,20.53125,b_yesno_randbatch0_size50.csv,
Revolting,system_on,-23.0,-4.75,18.25,b_yesno_randbatch0_size50.csv,
Scullionize,bare,-23.25,-3.109375,20.140625,b_yesno_randbatch0_size50.csv,
Scullionize,system_on,-21.625,-4.34375,17.28125,b_yesno_randbatch0_size50.csv,
Semicordated,bare,-23.5,-2.96875,20.53125,b_yesno_randbatch0_size50.csv,
Semicordated,system_on,-22.25,-4.46875,17.78125,b_yesno_randbatch0_size50.csv,
Shadflower,bare,-22.5,-2.609375,19.890625,b_yesno_randbatch0_size50.csv,
Shadflower,system_on,-21.375,-3.609375,17.765625,b_yesno_randbatch0_size50.csv,
Spavies,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch0_size50.csv,
Spavies,system_on,-22.0,-4.34375,17.65625,b_yesno_randbatch0_size50.csv,
Tendrillar,bare,-22.875,-2.734375,20.140625,b_yesno_randbatch0_size50.csv,
Tendrillar,system_on,-21.875,-3.984375,17.890625,b_yesno_randbatch0_size50.csv,
Undefeasible,bare,-23.75,-3.09375,20.65625,b_yesno_randbatch0_size50.csv,
Undefeasible,system_on,-22.375,-4.34375,18.03125,b_yesno_randbatch0_size50.csv,
Unflintify,bare,-23.25,-3.109375,20.140625,b_yesno_randbatch0_size50.csv,
Unflintify,system_on,-22.25,-4.21875,18.03125,b_yesno_randbatch0_size50.csv,
Unjuridical,bare,-23.75,-3.21875,20.53125,b_yesno_randbatch0_size50.csv,
Unjuridical,system_on,-22.875,-4.625,18.25,b_yesno_randbatch0_size50.csv,
Unjustifiable,bare,-23.375,-2.96875,20.40625,b_yesno_randbatch0_size50.csv,
Unjustifiable,system_on,-22.5,-4.34375,18.15625,b_yesno_randbatch0_size50.csv,
Aliturgic,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch1_size50.csv,1.0
Aliturgic,system_on,-21.875,-4.625,17.25,b_yesno_randbatch1_size50.csv,1.0
Analogistic,bare,-23.5,-3.46875,20.03125,b_yesno_randbatch1_size50.csv,1.0
Analogistic,system_on,-22.125,-4.875,17.25,b_yesno_randbatch1_size50.csv,1.0
Andreaea,bare,-23.125,-2.96875,20.15625,b_yesno_randbatch1_size50.csv,1.0
Andreaea,system_on,-22.25,-4.21875,18.03125,b_yesno_randbatch1_size50.csv,1.0
Apronless,bare,-23.25,-3.46875,19.78125,b_yesno_randbatch1_size50.csv,1.0
Apronless,system_on,-22.0,-4.5,17.5,b_yesno_randbatch1_size50.csv,1.0
Arabized,bare,-23.5,-3.453125,20.046875,b_yesno_randbatch1_size50.csv,1.0
Arabized,system_on,-22.5,-5.125,17.375,b_yesno_randbatch1_size50.csv,1.0
