entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index,z_delta
Malvaceous,bare,-23.125,-2.734375,20.390625,b_yesno_randbatch3_size50.csv,3.0,1.005510162173594
Unhydraulic,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch2_size50.csv,2.0,1.005510162173594
Undubiousness,bare,-23.5,-3.109375,20.390625,b_yesno_randbatch2_size50.csv,2.0,1.005510162173594
Publish,bare,-23.75,-3.359375,20.390625,b_yesno_randbatch3_size50.csv,3.0,1.005510162173594
Adumbrant,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch0_size50.csv,,1.005510162173594
Pavonize,bare,-23.625,-3.234375,20.390625,b_yesno_randbatch1_size50.csv,1.0,1.005510162173594
Rancel,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch3_size50.csv,3.0,1.005510162173594
Repriced,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch0_size50.csv,,-0.9772557479542638
Adenoviral,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Scripee,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch1_size50.csv,1.0,-0.9772557479542638
Inhabitability,bare,-22.75,-2.984375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Idiosepion,bare,-22.75,-2.984375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Silliness,bare,-23.0,-3.234375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Exploring,bare,-23.0,-3.234375,19.765625,b_yesno_randbatch3_size50.csv,3.0,-0.9772557479542638
Outarguing,bare,-23.25,-3.484375,19.765625,b_yesno_randbatch3_size50.csv,3.0,-0.9772557479542638
Gribble,bare,-22.625,-2.84375,19.78125,b_yesno_randbatch0_size50.csv,,-0.9276866002010674
Draglines,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch3_size50.csv,3.0,-0.9276866002010674
Nephrotome,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch3_size50.csv,3.0,-0.9276866002010674
Leukomas,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch1_size50.csv,1.0,-0.9276866002010674
Apronless,bare,-23.25,-3.46875,19.78125,b_yesno_randbatch1_size50.csv,1.0,-0.9276866002010674
Fledged,bare,-23.125,-3.34375,19.78125,b_yesno_randbatch2_size50.csv,2.0,-0.9276866002010674
Petrosphenoid,bare,-23.0,-3.21875,19.78125,b_yesno_randbatch0_size50.csv,,-0.9276866002010674
Agrypnias,bare,-23.0,-3.21875,19.78125,b_yesno_randbatch2_size50.csv,2.0,-0.9276866002010674
Awkwardly,bare,-23.0,-3.21875,19.78125,b_yesno_randbatch2_size50.csv,2.0,-0.9276866002010674
Scleroblastic,bare,-23.125,-3.34375,19.78125,b_yesno_randbatch3_size50.csv,3.0,-0.9276866002010674
Perries,bare,-22.75,-2.96875,19.78125,b_yesno_randbatch1_size50.csv,1.0,-0.9276866002010674
Mafioso,bare,-23.25,-3.46875,19.78125,b_yesno_randbatch0_size50.csv,,-0.9276866002010674
Orpheonist,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch1_size50.csv,1.0,-0.9276866002010674
Misintend,bare,-23.125,-3.328125,19.796875,b_yesno_randbatch1_size50.csv,1.0,-0.878117452447871
Ferrean,bare,-23.25,-2.953125,20.296875,b_yesno_randbatch3_size50.csv,3.0,0.7080952756544152
Clepsine,bare,-22.875,-2.59375,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Topsmelt,bare,-23.5,-3.21875,20.28125,b_yesno_randbatch3_size50.csv,3.0,0.6585261279012188
Postmark,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch3_size50.csv,3.0,0.6585261279012188
Underpays,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch3_size50.csv,3.0,0.6585261279012188
Donator,bare,-23.75,-3.46875,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Overwhirl,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch1_size50.csv,1.0,0.6585261279012188
Subaeration,bare,-23.25,-2.96875,20.28125,b_yesno_randbatch1_size50.csv,1.0,0.6585261279012188
Diamondbacked,bare,-23.125,-2.84375,20.28125,b_yesno_randbatch2_size50.csv,2.0,0.6585261279012188
Metallary,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Parabematic,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch1_size50.csv,1.0,0.6585261279012188
Mattin,bare,-23.25,-2.96875,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Hamzas,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Guerillas,bare,-23.5,-3.21875,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Seigneurial,bare,-23.25,-2.96875,20.28125,b_yesno_randbatch1_size50.csv,1.0,0.6585261279012188
Antiquist,bare,-23.625,-3.34375,20.28125,b_yesno_randbatch0_size50.csv,,0.6585261279012188
Unhinged,bare,-23.25,-2.984375,20.265625,b_yesno_randbatch2_size50.csv,2.0,0.6089569801480224
Slipperier,bare,-23.0,-2.734375,20.265625,b_yesno_randbatch2_size50.csv,2.0,0.6089569801480224
Guilelessly,bare,-23.25,-2.984375,20.265625,b_yesno_randbatch2_size50.csv,2.0,0.6089569801480224
Rampaciously,bare,-23.25,-2.984375,20.265625,b_yesno_randbatch0_size50.csv,,0.6089569801480224
Subdepartments,bare,-23.375,-3.109375,20.265625,b_yesno_randbatch1_size50.csv,1.0,0.6089569801480224
Phrasal,bare,-23.125,-2.859375,20.265625,b_yesno_randbatch1_size50.csv,1.0,0.6089569801480224
Weirdlessness,bare,-23.375,-3.109375,20.265625,b_yesno_randbatch1_size50.csv,1.0,0.6089569801480224
Glance,bare,-23.0,-3.109375,19.890625,b_yesno_randbatch1_size50.csv,1.0,-0.5807025659286923
Chlorapatite,bare,-22.875,-2.984375,19.890625,b_yesno_randbatch0_size50.csv,,-0.5807025659286923
Braveries,bare,-22.875,-2.984375,19.890625,b_yesno_randbatch2_size50.csv,2.0,-0.5807025659286923
Unbothered,bare,-23.0,-3.109375,19.890625,b_yesno_randbatch1_size50.csv,1.0,-0.5807025659286923
Umbrose,bare,-23.0,-3.109375,19.890625,b_yesno_randbatch1_size50.csv,1.0,-0.5807025659286923
Shadflower,bare,-22.5,-2.609375,19.890625,b_yesno_randbatch0_size50.csv,,-0.5807025659286923
Trolleyed,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Heteroalbumose,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Eglamore,bare,-22.625,-2.71875,19.90625,b_yesno_randbatch1_size50.csv,1.0,-0.5311334181754959
Dislimn,bare,-22.875,-2.96875,19.90625,b_yesno_randbatch1_size50.csv,1.0,-0.5311334181754959
Memorandum,bare,-23.5,-3.59375,19.90625,b_yesno_randbatch2_size50.csv,2.0,-0.5311334181754959
Standout,bare,-23.375,-3.46875,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Revaccinate,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch1_size50.csv,1.0,-0.5311334181754959
Jugation,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Inhold,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch0_size50.csv,,-0.5311334181754959
Helicopting,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch0_size50.csv,,-0.5311334181754959
Spavies,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch0_size50.csv,,-0.5311334181754959
Otoconia,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch0_size50.csv,,-0.5311334181754959
Sagene,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Scriptureless,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Aliturgic,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch1_size50.csv,1.0,-0.5311334181754959
Biffies,bare,-22.75,-2.84375,19.90625,b_yesno_randbatch3_size50.csv,3.0,-0.5311334181754959
Punctum,bare,-23.125,-3.21875,19.90625,b_yesno_randbatch1_size50.csv,1.0,-0.5311334181754959
Nonstandard,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch1_size50.csv,1.0,-0.5311334181754959
Citronalis,bare,-23.125,-3.203125,19.921875,b_yesno_randbatch1_size50.csv,1.0,-0.4815642704222994
Partitively,bare,-23.375,-3.453125,19.921875,b_yesno_randbatch1_size50.csv,1.0,-0.4815642704222994
Asaprol,bare,-23.375,-3.1875,20.1875,b_yesno_randbatch3_size50.csv,3.0,0.36111124138204015
Motacilla,bare,-23.0,-2.84375,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Monotropsis,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Underworld,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch1_size50.csv,1.0,0.26197294587564723
Reabandoning,bare,-23.5,-3.34375,20.15625,b_yesno_randbatch3_size50.csv,3.0,0.26197294587564723
Superengraving,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch3_size50.csv,3.0,0.26197294587564723
Subreguli,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Manganous,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch0_size50.csv,,0.26197294587564723
Pubourethral,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Semicolloidal,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Lagunero,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch0_size50.csv,,0.26197294587564723
Jitterbugs,bare,-23.125,-2.96875,20.15625,b_yesno_randbatch3_size50.csv,3.0,0.26197294587564723
Ethicophysical,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Reentrances,bare,-23.5,-3.34375,20.15625,b_yesno_randbatch0_size50.csv,,0.26197294587564723
Clamative,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Azorubine,bare,-22.875,-2.71875,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Inflecting,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch2_size50.csv,2.0,0.26197294587564723
Sloking,bare,-23.125,-2.96875,20.15625,b_yesno_randbatch1_size50.csv,1.0,0.26197294587564723
Riflers,bare,-23.375,-3.21875,20.15625,b_yesno_randbatch1_size50.csv,1.0,0.26197294587564723
Noninterrupted,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch1_size50.csv,1.0,0.26197294587564723
Sarcastic,bare,-23.5,-3.34375,20.15625,b_yesno_randbatch3_size50.csv,3.0,0.26197294587564723
Bifteck,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch0_size50.csv,,0.26197294587564723
Andreaea,bare,-23.125,-2.96875,20.15625,b_yesno_randbatch1_size50.csv,1.0,0.26197294587564723
Dorosacral,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch3_size50.csv,3.0,0.26197294587564723
Parasynthesis,bare,-23.5,-3.359375,20.140625,b_yesno_randbatch3_size50.csv,3.0,0.2124037981224508
Macroeconomic,bare,-23.75,-3.609375,20.140625,b_yesno_randbatch3_size50.csv,3.0,0.2124037981224508
Unprofiting,bare,-23.375,-3.234375,20.140625,b_yesno_randbatch1_size50.csv,1.0,0.2124037981224508
Yogees,bare,-22.75,-2.609375,20.140625,b_yesno_randbatch1_size50.csv,1.0,0.2124037981224508
Hemicanities,bare,-23.125,-2.984375,20.140625,b_yesno_randbatch3_size50.csv,3.0,0.2124037981224508
Synaptosome,bare,-23.125,-2.984375,20.140625,b_yesno_randbatch1_size50.csv,1.0,0.2124037981224508
Photomapped,bare,-23.125,-2.984375,20.140625,b_yesno_randbatch0_size50.csv,,0.2124037981224508
Shrrinkng,bare,-22.875,-2.734375,20.140625,b_yesno_randbatch2_size50.csv,2.0,0.2124037981224508
Scullionize,bare,-23.25,-3.109375,20.140625,b_yesno_randbatch0_size50.csv,,0.2124037981224508
Tendrillar,bare,-22.875,-2.734375,20.140625,b_yesno_randbatch0_size50.csv,,0.2124037981224508
Unflintify,bare,-23.25,-3.109375,20.140625,b_yesno_randbatch0_size50.csv,,0.2124037981224508
