entity,pc1_score,l2_delta,arm
Bywalking,663.1991577148438,680.6119384765625,pos_pc1_high_l2
Prefix,662.8302001953125,679.8131713867188,pos_pc1_high_l2
Floating,657.8740234375,678.2753295898438,pos_pc1_high_l2
Incoming,661.58837890625,678.2588500976562,pos_pc1_high_l2
Stride,659.8790893554688,676.0298461914062,pos_pc1_high_l2
Virgin,642.998291015625,658.833740234375,pos_pc1_high_l2
Andrew,643.1292114257812,658.8171997070312,pos_pc1_high_l2
Decoration,642.7021484375,657.808349609375,pos_pc1_high_l2
Transport,641.9404296875,656.271240234375,pos_pc1_high_l2
Labour,639.1973266601562,655.6474609375,pos_pc1_high_l2
Sender,635.7296752929688,653.7716064453125,pos_pc1_high_l2
Battery,634.1454467773438,652.1345825195312,pos_pc1_high_l2
Skeleton,628.81103515625,647.869873046875,pos_pc1_high_l2
Watcher,617.9697265625,641.0088500976562,pos_pc1_high_l2
Dragging,622.4440307617188,640.9901733398438,pos_pc1_high_l2
Courtesy,621.4906616210938,637.1757202148438,pos_pc1_high_l2
Running,621.7744140625,637.0497436523438,pos_pc1_high_l2
Sorting,613.2181396484375,635.2976684570312,pos_pc1_high_l2
Footer,615.8346557617188,634.912841796875,pos_pc1_high_l2
Include,605.6958618164062,633.8552856445312,pos_pc1_high_l2
Humans,618.4635009765625,633.8255004882812,pos_pc1_high_l2
Moving,615.3877563476562,630.6237182617188,pos_pc1_high_l2
