entity,pc1_score,l2_delta,arm
Positions,-678.5699462890625,680.8506469726562,neg_pc1_high_l2
Templates,-678.3185424804688,680.6214599609375,neg_pc1_high_l2
Straight,-676.31787109375,678.5078735351562,neg_pc1_high_l2
Property,-667.5634155273438,672.9956665039062,neg_pc1_high_l2
Entities,-665.8139038085938,669.7674560546875,neg_pc1_high_l2
Applications,-665.369384765625,669.7467651367188,neg_pc1_high_l2
Suppress,-657.9271240234375,668.5223999023438,neg_pc1_high_l2
Selective,-658.6181640625,664.3049926757812,neg_pc1_high_l2
Europe,-659.54345703125,662.7762451171875,neg_pc1_high_l2
Things,-656.7684326171875,662.306884765625,neg_pc1_high_l2
Threshold,-654.6455078125,658.3251953125,neg_pc1_high_l2
Percentage,-652.60107421875,658.2573852539062,neg_pc1_high_l2
States,-653.9122924804688,656.9863891601562,neg_pc1_high_l2
Combined,-648.2250366210938,653.5967407226562,neg_pc1_high_l2
Connections,-639.7677001953125,650.2200317382812,neg_pc1_high_l2
Access,-640.181396484375,649.0869140625,neg_pc1_high_l2
Actions,-641.1591796875,646.4187622070312,neg_pc1_high_l2
Material,-627.3131103515625,644.4862670898438,neg_pc1_high_l2
Callback,-630.1754150390625,640.8922119140625,neg_pc1_high_l2
Coordinate,-629.8090209960938,636.916259765625,neg_pc1_high_l2
Democratic,-627.9617309570312,636.0972290039062,neg_pc1_high_l2
Answers,-624.6552734375,635.1449584960938,neg_pc1_high_l2
Platforms,-627.611328125,634.75048828125,neg_pc1_high_l2
Models,-625.1270751953125,634.7440795898438,neg_pc1_high_l2
