entity,pc1_score,meridian_score,l2_delta,artifact
Canaries,-416.3244323730469,-416.3244323730469,431.52056884765625,True
Requirements,-427.4442443847656,-427.4442443847656,440.5743713378906,True
Cantered,-429.9346923828125,-429.9346923828125,439.7408142089844,True
Caners,-430.9507141113281,-430.9507141113281,440.2637023925781,True
Recommended,-434.8880004882813,-434.8880004882813,439.8976745605469,True
Reports,-436.1478576660156,-436.1478576660156,456.4739074707031,True
Requests,-464.2133483886719,-464.2133483886719,467.0847473144531,True
Canzon,-465.6175842285156,-465.6175842285156,471.68310546875,True
Record,-467.3990173339844,-467.3990173339844,469.38330078125,True
Canicide,-467.7406311035156,-467.7406311035156,478.5831909179688,True
Interest,-475.0167236328125,-475.0167236328125,477.5133972167969,True
Regional,-475.5623474121094,-475.5623474121094,478.6383666992188,True
Canities,-494.0070495605469,-494.0070495605469,503.9684753417969,True
Require,-496.0025024414063,-496.0025024414063,502.6732177734375,True
Overflow,-499.9076843261719,-499.9076843261719,505.7310485839844,True
Records,-501.30657958984375,-501.30657958984375,503.9706115722656,True
Canamo,-502.6203308105469,-502.6203308105469,518.3003540039062,True
Canfield,-519.0154418945312,-519.0154418945312,530.8770141601562,True
Intermediate,-522.449462890625,-522.449462890625,534.6216430664062,True
Cantrip,-561.259765625,-561.259765625,570.27490234375,True
Registers,-565.9873046875,-565.9873046875,568.6754150390625,True
Canidia,-567.8594360351562,-567.8594360351562,573.3342895507812,True
Restaurant,-573.0225830078125,-573.0225830078125,574.3442993164062,True
Canella,-595.4076538085938,-595.4076538085938,601.36328125,True
Theater,-604.1773681640625,-604.1773681640625,607.0881958007812,True
Caneton,-612.4398193359375,-612.4398193359375,616.6881713867188,True
Candidates,-683.7945556640625,-683.7945556640625,686.809326171875,True
Theiform,-701.27001953125,-701.27001953125,703.2022094726562,True
Required,-706.2101440429688,-706.2101440429688,711.6502075195312,True
Interval,-711.9902954101562,-711.9902954101562,714.6637573242188,True
Canellas,-748.6557006835938,-748.6557006835938,761.242431640625,True
Theeker,-800.2713623046875,-800.2713623046875,812.7500610351562,True
Canopus,-811.5347290039062,-811.5347290039062,813.8059692382812,True
Interestingly,-865.09521484375,-865.09521484375,870.8778686523438,True
Resource,-897.2914428710938,-897.2914428710938,899.328369140625,True
Theoria,-901.9530639648438,-901.9530639648438,903.4223022460938,True
Canzones,-915.0936279296876,-915.0936279296876,917.5210571289062,True
Canreply,-916.3023681640624,-916.3023681640624,919.8843383789062,True
Canailles,-935.8655395507812,-935.8655395507812,942.5255126953124,True
Canapes,-961.5836181640624,-961.5836181640624,964.5986938476562,True
Canular,-971.4523315429688,-971.4523315429688,977.8851928710938,True
