cluster,n,mean_pc1,mean_l2,median_l2,top_l2_examples
3,18572,-0.7121791468429552,173.16453021778875,138.46723175048828,"Caumatic, Byeman, Canicular, Canjac, Traversal, Couldna, Sibling, Couldron"
2,79563,1.5565061432237004,92.76479880119336,90.407958984375,"Tomorrow, Provides, Phytozoaria, Pedantize, Exantlation, Bejade, Crenitic, Parthenoparous"
1,99283,0.6822407691599852,70.63647862190952,70.31269836425781,"Barenecked, Valeward, Cerebrose, Dollie, Adenotome, Febricant, Snibbler, Decremental"
0,124111,-0.06983639562240225,54.50835728867585,55.33617401123047,"Hachiman, Lavations, Anticeremonial, Leukocytic, Citrometer, Tegumenta, Nabobess, Chiccory"
