entity,base_mean_yes_margin,base_stem0,org_mean_yes_margin,org_stem0,delta_org_minus_base
Homosexuals,-24.25,-24.25,-5.59375,-5.59375,18.65625
Slifter,-24.0,-24.0,-5.375,-5.375,18.625
Prorogator,-24.0,-24.0,-5.46875,-5.46875,18.53125
Patrioteer,-24.125,-24.125,-5.625,-5.625,18.5
Uneradicative,-24.125,-24.125,-5.625,-5.625,18.5
Importuner,-23.875,-23.875,-5.46875,-5.46875,18.40625
Lawgiver,-23.5,-23.5,-5.09375,-5.09375,18.40625
Placatory,-23.875,-23.875,-5.46875,-5.46875,18.40625
Dodkin,-23.875,-23.875,-5.46875,-5.46875,18.40625
Supplicate,-23.875,-23.875,-5.46875,-5.46875,18.40625
Communism,-24.25,-24.25,-5.84375,-5.84375,18.40625
Predefrayal,-23.875,-23.875,-5.5,-5.5,18.375
Semifeudal,-23.75,-23.75,-5.375,-5.375,18.375
Homogenetical,-24.0,-24.0,-5.625,-5.625,18.375
Alienism,-24.0,-24.0,-5.625,-5.625,18.375
Antisuffrage,-23.875,-23.875,-5.59375,-5.59375,18.28125
Uninquisitive,-23.625,-23.625,-5.34375,-5.34375,18.28125
Puckerer,-23.75,-23.75,-5.46875,-5.46875,18.28125
Ultramodernist,-23.75,-23.75,-5.46875,-5.46875,18.28125
Radiants,-23.625,-23.625,-5.34375,-5.34375,18.28125
Phacoidal,-23.75,-23.75,-5.46875,-5.46875,18.28125
Pandemic,-23.75,-23.75,-5.46875,-5.46875,18.28125
Baluchithere,-24.0,-24.0,-5.71875,-5.71875,18.28125
Mulattoism,-24.25,-24.25,-5.96875,-5.96875,18.28125
Primitivist,-23.875,-23.875,-5.59375,-5.59375,18.28125
Popularizer,-23.875,-23.875,-5.59375,-5.59375,18.28125
Prudish,-23.625,-23.625,-5.34375,-5.34375,18.28125
Publicism,-24.0,-24.0,-5.71875,-5.71875,18.28125
Prudist,-23.875,-23.875,-5.59375,-5.59375,18.28125
Englishmen,-24.0,-24.0,-5.71875,-5.71875,18.28125
Impregnator,-23.625,-23.625,-5.34375,-5.34375,18.28125
Recrucify,-23.875,-23.875,-5.59375,-5.59375,18.28125
Proconformity,-24.125,-24.125,-5.84375,-5.84375,18.28125
