,delta_org_minus_base
h278,3.148950636389092e-05
h203,3.1205266714073865e-05
h499,3.0981004238039844e-05
h564,3.0625239014647754e-05
h686,3.041699528694153e-05
h288,3.0178576707839966e-05
h59,2.9772520065307617e-05
h90,2.917312085626289e-05
h442,2.9167532920815198e-05
h217,2.904720604424149e-05
h471,2.8229132294610437e-05
h698,2.7961656451247485e-05
h356,2.7412548661231995e-05
h343,2.6999041438102722e-05
h360,2.687275409707368e-05
h91,2.6739761233240955e-05
h537,2.671331167214408e-05
h678,2.666376531124115e-05
h456,2.6298686861991882e-05
h306,2.6018917560599597e-05
h147,2.5914236903235022e-05
h172,2.554692327971786e-05
h271,2.513714134688705e-05
h28,2.4560466408751758e-05
h448,2.4529173970222473e-05
h411,2.4107471108480993e-05
h56,2.364777028562859e-05
h230,2.3288279771715992e-05
h236,2.325177192685768e-05
h608,2.3069232702233045e-05
h44,2.2960454225451343e-05
h326,2.285763621334702e-05
h752,2.2747740149542395e-05
h57,2.2442266345068518e-05
h259,2.241209149356216e-05
h317,2.225041389469773e-05
h11,2.1361187100388257e-05
h490,2.1153315901800696e-05
h249,2.104192972185448e-05
h1,2.085380256167113e-05
h196,2.054721117028535e-05
h578,2.014636993408203e-05
h188,1.950711011877715e-05
h267,1.9182637333914343e-05
h459,1.8998235464029456e-05
h759,1.886598765854508e-05
h619,1.8837675452298974e-05
h369,1.855492591862351e-05
h638,1.821145415303871e-05
h574,1.7875805497169495e-05
h719,1.765750348559081e-05
h672,1.7364695668153907e-05
h412,1.731067895893723e-05
h130,1.66185200214386e-05
h447,1.638419926164314e-05
h396,1.6171112656615527e-05
h335,1.5712156891778406e-05
h583,1.54595822096093e-05
h169,1.5415623784043042e-05
h731,1.5251338481903076e-05
h774,1.5101954340845936e-05
h480,1.5008822083384388e-05
h118,1.4903396368004529e-05
h329,1.4834478497482984e-05
h566,1.4640763401962964e-05
h517,1.458749175065055e-05
h588,1.4521926641530847e-05
h27,1.4477223157838282e-05
h262,1.4332681894324573e-05
