entity,pc1,pc2,pca_r,u1,u2,umap_r
Antiglobulin,1.2633427,8.181269,8.278235,-2.7834933,-0.80420685,0.60533977
Acaricidal,-0.94133216,16.622435,16.649067,-1.6284889,-0.98439395,1.3528968
Gaggler,1.0969377,10.023872,10.083713,-2.6002288,-1.1176918,0.925955
Sextans,-0.5554096,3.3719761,3.4174113,-3.9188588,-0.8828388,1.3691002
Canalize,-3.884467,45.574696,45.73994,-0.8899082,-2.7496173,3.1443043
Pycnanthemum,2.710749,6.97333,7.4816766,-2.3396513,-0.6172576,0.5716512
Duplicate,-334.41815,-16.539154,334.8269,-2.5605943,5.7043295,5.9079027
Chromomere,-0.89555997,24.047504,24.064175,-1.6685289,-3.0494657,3.04027
Saccharuria,-2.166977,88.81504,88.84147,-1.4427814,-3.389417,3.4389443
Judger,-6.130345,31.175117,31.772142,-2.3733666,-2.7422018,2.5662253
Noncarbonate,-4.484758,16.242153,16.849943,-2.0631213,-1.4716957,1.4357002
Ravenry,-2.5079865,-18.26294,18.434341,-4.275481,1.2216014,2.0994644
Intrado,0.48485464,13.872083,13.880552,-1.794402,-1.7555648,1.8151146
Nonspecial,-0.6049433,-30.25651,30.262556,-3.7028048,2.0325825,2.4357004
Adaxial,1.637227,-17.615452,17.691372,-3.5339732,0.68763757,1.1973763
Brachyurous,-2.0977852,11.273874,11.467385,-3.1823034,-1.7981784,1.6594665
Baculites,-1.267678,5.315075,5.464158,-2.029607,0.57122767,1.0436634
Waddings,3.9208455,8.535123,9.392621,-1.9289145,-2.0034628,1.9730093
Trapezium,0.8140838,-2.3753679,2.5109973,-1.4494548,1.0098917,1.7636056
Puberal,1.2672322,10.018512,10.098338,-2.5669928,-0.89009005,0.70837396
Undamn,-2.391297,24.914215,25.028713,-1.0733057,-2.6100667,2.9245434
Chalcidica,-5.61034,-11.448549,12.749323,-4.269351,1.2125622,2.0888324
Neuropodium,-0.31773427,4.1216187,4.133847,-2.9319594,-1.053317,0.87546223
Anemochoric,-7.2099795,8.799887,11.37637,-1.8354958,-1.4212396,1.5138314
Sulfanilic,-0.2728725,8.254361,8.258869,-2.2125375,-0.32515553,0.533648
Hardfist,-1.6010474,-0.8579937,1.8164548,-4.25456,-1.0465199,1.7419099
Ossianize,-4.5526695,2.9364955,5.4175463,-3.1341755,-2.79209,2.6220853
Nonconsent,1.0558674,20.385777,20.413103,-0.7830634,-1.6580147,2.4329538
Ceteosaur,-1.3222255,-0.85367954,1.5738648,-3.179558,-0.95376736,0.8759041
Involutory,2.080066,2.9219131,3.5866764,-2.9646556,-0.6271898,0.48567984
Caldera,2.9039443,7.0691385,7.642356,-2.7926831,-1.0745004,0.87553775
Anthography,2.2694695,-10.426492,10.670625,-3.4482844,1.0560791,1.4471288
Ferries,1.0789845,-9.041037,9.105194,-2.5675905,1.5087368,1.71768
Haemolytic,5.2591186,2.0655324,5.650199,-3.1543791,-0.7363963,0.6821402
Ultrasubtle,3.956804,-9.114014,9.935872,-3.6690714,-0.58128434,1.0116614
Varsal,-2.7044911,-23.473337,23.628624,-3.118837,1.8011001,2.039308
Sofane,-6.509504,-9.168048,11.243966,-2.8250802,0.9198502,1.1248425
Textiferous,2.4285295,-7.9125814,8.276877,-1.5123078,0.7985322,1.576658
Anomurous,-5.93139,-17.361519,18.346764,-1.8577201,-3.3846986,3.3013506
Ultrasimian,-7.306452,-16.146671,17.722845,-2.5216208,1.2533009,1.4694741
Greengill,-3.277902,-13.27633,13.674999,-4.7907743,-0.35258573,2.0647736
Crowns,2.893421,-17.976936,18.208298,-3.6740162,2.2424848,2.619029
